id,text
"1","1) What are the advantages of doing Scrum?\n\nThe advantage of doing scrum is that while performing the test\n\nIt minimizes the risk in response to changes made to the system\nIt increases ROI ( Return of Investment)\nIt improves the process continuously\nIt repeatedly and rapidly looks into actual working software\nAnyone can see real working software and continue to enhance for another iteration."
"2","2) How long does a scrum cycle last? Who is involved in the Scrum cycle?\n\nScrum cycle depends on the type of project the team is working. Usually, it ranges about 2-4 weeks to nearly a month.  In scrum cycle, it includes a\n\nScrum master\nProduct owner\nTeam"
"3","3) What is a user story in Scrum?\n\nIn scrum, a user story is short, one sentence definitions of a feature or functionality."
"4","4) What are the artifacts of Scrum process?\n\nScrum process artifacts include\n\nSprint backlog\nProduct backlog\nVelocity chart\nBurn-down chart"
"5","5)  What is Scrum Sprint?\n\nScrum project is developed in a series of “sprint”. It is a repeatable and regular work cycle in scrum methodology during which work is accomplished and kept ready for review.\n\n6) What is the ideal duration is for Sprint?  How it affects the workflow?\n\nSprint in Scrum usually lasts for 30 days or two weeks.  The two-week sprint planning is preferred for various reason. First, it makes it easier for the team to estimate, plan and complete the work in two weeks. Secondly, it gives enough time to the product owner to change the priorities more often and allows the team to adapt quickly to the market pressures."
"6","7) Explain product backlog in Scrum\n\nBefore the scrum sprint initiates, product owner reviews the list of all new features, change requests, enhancements and bug reports and determines which ones are of high priorities. If the project is new it includes new features that the new system must provide, this list of item is referred to as Product Backlog.  The things that are kept on sprint are referred to as Sprint Backlog."
"7","8) Explain the activities performed in Agile scrum meeting\n\nDuring scrum meetings\n\nTeam analyze how much time they got to complete task during the Sprint\nFrom product backlog, the team takes the first item and breaks into tasks\nTeam estimates how long a task will take\nIf there is any time left during the sprint, they will move on to the next item on the product backlog\nDecide the features which have clarity and estimates how many to be scoped for sprint."
"8","9) What is the role of scrum master in Scrum?\n\nRemoves any obstacles that the team faces during the pursuit of its sprint goals\nMaximizing the productivity of the team\nMaking sure that the scripting language used for system testing and unit testing is written in the same language\nGuides the team and product owner to improve the effectiveness of their practices\nMakes sure that all standard scrum practices are followed."
"9","10) What does a scrum burndown chart should consist of?\n\nA scrum burndown chart should consist of\n\nX-axis that displays working days\nY-axis that displays remaining effort\nIdeal effort as a guideline\nReal progress of the effort."
"10","11) What are the drawbacks of using Scrum?\n\nIt will be a tricky job for an Agile scrum master to plan, organize and structure a project that lacks a clear goal\nDaily scrum meeting requires frequent reviews and substantial resources\nA successful project relies on the maturity and dedication of all the team members\nUncertainty regarding the product, frequent changes, and frequent product delivery remains during the scrum cycle\nIt makes all dysfunction visible\nIt requires significant change"
"11","12) What is a scrum of scrum?\n\nScrum of scrum is used to refer to the meeting after the daily scrum.  The responsible person from each agile team attends the meeting and discuss their work and answer the questions like\n\nSince the last meeting, what is the progress of the team?\nWhat your team is expected to do or should accomplish, before the next meeting?\nWhat are the obstacles your team faced while completing the task?\nWere you going to allow any of your work to the following team?"
"12","13) Explain the term “Increment.”\n\nThe term “Increment” is used to refer the total number of the product backlog items completed during the sprint and all previous sprints. At the end of the sprint, increment should be in done status; also, it must be in re-useable condition regardless of whether the product owner is willing to release a product or not."
"13","14) What is “Velocity”?\n\n“Velocity” is the total effort a team is capable of in a sprint.  The number is obtained by adding all the story points from the last sprint’s stories.  It is a guideline for the team to understand how many stories they can do in a sprint."
"14","15) What is “Sashimi” and “Impediments”?\n\nSashimi:This term is analogous to “done”; it is used to define the specific task when it is completed. The term used by a different team to refer their completed task status may differ but should remain the same within one team.\nImpediments: Any obstacle that prevents the team members from performing their work is referred to as impediments."
"15","16) What is scrum poker or planning poker?\n\nScrum poker or planning poker is a technique to estimate the relative size of development goals in software development.  It is a way to determine sprint item durations by playing number cards face down the table, instead of speaking them aloud."
"16","17) What does the burndown charts show?\n\nBurn down charts is used to track sprint status, they act as an early warning indicator; they can be useful in highlighting the “lack of progress”.  Also, they will highlight the area where they see redundancy."
"17","18) What is the objective behind holding a Sprint retrospective meeting?\n\nThe objective behind Sprint retrospective meeting is to let team members know how things went during the sprint and discuss possible ways for further improvements for future sprints."
"18","19) What is the difference between Sprint and Iteration in Scrum?\n\nIteration: It is a terminology used to define a single development cycle in general agile methods. It is a common term used in the iterative and Incremental development process.\nSprint:It is used to define one development cycle or iterative step in a specialized agile methodology referred to as Scrum. Sprint is scrum specific, and not all forms of iterations are Sprints."
"19","20) What is a story point in Scrum?\n\nEach feature in scrum is Story. A story point is an arbitrary measure used by Scrum teams, and it is a metric used by agile teams to determine the difficulty of implementing a given story."
"20","21) What velocity in scrum?  How it is measured?\n\nVelocity in a scrum is a measurement of how much the team gets work done in an iteration or sprint. It is measured by\n\nV= Number of total story points / One iteration"
"21","22)  When Scrum cannot be useful?\n\nIdeally, scrum is useful to monitor work with 5 to 10 people, who are committed to achieving the sprint goal.  It does not go well with huge groups or team having more responsibilities.  For a larger team, scrum can be applied by splitting the team into small groups and practice Scrum."
"22","23) What are your responsibilities of a professional scrum master?\n\nThe scrum master role is similar to the project manager in a few cases, and the responsibilities of a scrum master are:\n\nConducting Sprint planning and project management\nTo schedule the daily Scrum meeting\nManagement of responsibilities of the Scrum process\nAssisting development teams to follow Scrum practices\nWork to remove barriers to allow the team to focus on work\nOffering assistance with the Product Backlog"
